frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
1683435369.715788000	180	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51163											
1683435369.715788000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51162											
1683435369.715788000	105	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51162											
1683435369.716608000	66	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51163	443											
1683435369.716665000	1514	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51163											
1683435369.716880000	66	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51163	443											
1683435369.717000000	2974	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51163											
1683435369.717076000	54	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51163	443											
1683435369.717627000	1494	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51162	443											
1683435369.717627000	1494	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51162	443											
1683435369.717627000	1494	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51162	443											
1683435369.717627000	1494	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51162	443											
1683435369.717627000	1494	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51162	443											
1683435369.717627000	526	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51162	443											
1683435369.718605000	212	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51163	443											
1683435369.847603000	55	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	156.0.212.9	51156	1											
1683435369.888513000	66	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51162											
1683435369.888513000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51162											
1683435369.888513000	66	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51162											
1683435369.888513000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51162											
1683435369.892519000	105	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51163											
1683435369.892519000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51162											
1683435369.892519000	526	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51162											
1683435369.892701000	54	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51162	443											
1683435369.893319000	85	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51162	443											
1683435369.893428000	54	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51162	443											
1683435369.893578000	1494	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51163	443											
1683435369.893578000	1291	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51163	443											
1683435370.160846000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51162											
1683435370.160846000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51163											
1683435370.160846000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51162											
1683435370.161022000	526	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51163											
1683435370.161059000	54	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51163	443											
1683435370.161554000	85	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51163	443											
1683435370.161625000	54	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	104.46.162.224	51163	443											
1683435370.217062000	66	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	49.37.132.231	51157	6881											
1683435370.217664000	66	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	209.146.20.67	51158	6881											
1683435370.227698000	55	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	51.89.98.181	51115	443											
1683435370.229511000	66	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	86.105.77.71	51166	49802											
1683435370.230659000	66	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	184.22.20.241	51167	6881											
1683435370.230746000	66	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	112.198.27.4	51168	1											
1683435370.240153000	180	b4:8c:9d:91:e1:31	ff:ff:ff:ff:ff:ff	192.168.133.128	192.168.133.255			27036	27036									
1683435370.240689000	310	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	103.10.124.125	51100	27031											
1683435370.364612000	58	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	112.198.27.4	192.168.133.128	1	51168											
1683435370.365238000	54	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	112.198.27.4	51168	1											
1683435370.365293000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51163											
1683435370.365293000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51163											
1683435370.365293000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	104.46.162.224	192.168.133.128	443	51163											
1683435370.369144000	258	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	112.198.27.4	51168	1											
1683435370.469028000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	103.10.124.125	192.168.133.128	27031	51100											
1683435370.469028000	66	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	51.89.98.181	192.168.133.128	443	51115											
1683435370.706399000	334	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	103.10.124.125	192.168.133.128	27031	51100											
1683435370.748924000	54	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	103.10.124.125	51100	27031											
1683435370.777475000	258	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	112.198.27.4	51168	1											
1683435371.025234000	76	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	192.168.133.211			54957	53									
1683435371.025592000	66	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	66.203.125.14	51170	443											
1683435371.079111000	173	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	192.168.133.211	192.168.133.128			53	54957									
1683435371.232799000	66	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	86.105.77.71	51166	49802											
1683435371.233076000	66	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	184.22.20.241	51167	6881											
1683435371.244560000	62	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	124.41.239.2			51974	58716									
1683435371.244724000	258	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	112.198.27.4	51168	1											
1683435371.389596000	58	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	66.203.125.14	192.168.133.128	443	51170											
1683435371.389690000	54	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	66.203.125.14	51170	443											
1683435371.390013000	376	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	66.203.125.14	51170	443											
1683435371.674264000	317	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	15.207.187.50	51091	443											
1683435371.767835000	62	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	124.41.239.2	192.168.133.128			58716	51974									
1683435371.767835000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	66.203.125.14	192.168.133.128	443	51170											
1683435371.767835000	184	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	66.203.125.14	192.168.133.128	443	51170											
1683435371.768144000	130	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	124.41.239.2			51974	58716									
1683435371.768455000	105	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	66.203.125.14	51170	443											
1683435371.768699000	398	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	66.203.125.14	51170	443											
1683435371.959026000	70	b4:8c:9d:91:e1:31	01:00:5e:00:00:fb	192.168.133.128	224.0.0.251			5353	5353									
1683435371.959280000	90	b4:8c:9d:91:e1:31	33:33:00:00:00:fb					5353	5353								fe80::c21c:a149:ca61:178e	ff02::fb
1683435371.959493000	70	b4:8c:9d:91:e1:31	01:00:5e:00:00:fb	192.168.133.128	224.0.0.251			5353	5353									
1683435371.959577000	90	b4:8c:9d:91:e1:31	33:33:00:00:00:fb					5353	5353								fe80::c21c:a149:ca61:178e	ff02::fb
1683435371.959912000	84	b4:8c:9d:91:e1:31	33:33:00:01:00:03					53711	5355								fe80::c21c:a149:ca61:178e	ff02::1:3
1683435371.960022000	64	b4:8c:9d:91:e1:31	01:00:5e:00:00:fc	192.168.133.128	224.0.0.252			53711	5355									
1683435371.960326000	84	b4:8c:9d:91:e1:31	33:33:00:01:00:03					58970	5355								fe80::c21c:a149:ca61:178e	ff02::1:3
1683435371.960452000	64	b4:8c:9d:91:e1:31	01:00:5e:00:00:fc	192.168.133.128	224.0.0.252			58970	5355									
1683435372.053358000	258	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	112.198.27.4	51168	1											
1683435372.148341000	139	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	15.207.187.50	192.168.133.128	443	51091											
1683435372.148341000	62	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	124.41.239.2	192.168.133.128			58716	51974									
1683435372.148341000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	66.203.125.14	192.168.133.128	443	51170											
1683435372.148341000	54	5a:5e:dd:ab:45:7a	b4:8c:9d:91:e1:31	66.203.125.14	192.168.133.128	443	51170											
1683435372.150019000	146	b4:8c:9d:91:e1:31	5a:5e:dd:ab:45:7a	192.168.133.128	212.118.45.202			6881	8444									
